source_path,target_path,split,class_name,side,classification,group
back/regular/group_1/back_regular_group_1_1.png,job_20260806_160640_35879d/train/regular/back_regular_group_1_1.png,train,regular,back,regular,group_1
back/regular/group_1/back_regular_group_1_2.png,job_20260806_160640_35879d/test/regular/back_regular_group_1_2.png,test,regular,back,regular,group_1
back/regular/group_2/back_regular_group_2_1.png,job_20260806_160640_35879d/train/regular/back_regular_group_2_1.png,train,regular,back,regular,group_2
back/regular/group_2/back_regular_group_2_2.png,job_20260806_160640_35879d/train/regular/back_regular_group_2_2.png,train,regular,back,regular,group_2
back/regular/group_3/back_regular_group_3_1.png,job_20260806_160640_35879d/val/regular/back_regular_group_3_1.png,val,regular,back,regular,group_3
back/regular/group_3/back_regular_group_3_2.png,job_20260806_160640_35879d/train/regular/back_regular_group_3_2.png,train,regular,back,regular,group_3
back/regular/ungroupable/back_regular_ungroupable_1.png,job_20260806_160640_35879d/val/regular/back_regular_ungroupable_1.png,val,regular,back,regular,ungroupable
back/regular/ungroupable/back_regular_ungroupable_2.png,job_20260806_160640_35879d/train/regular/back_regular_ungroupable_2.png,train,regular,back,regular,ungroupable
back/suspicious/group_1/back_suspicious_group_1_1.png,job_20260806_160640_35879d/val/suspicious/back_suspicious_group_1_1.png,val,suspicious,back,suspicious,group_1
back/suspicious/group_1/back_suspicious_group_1_2.png,job_20260806_160640_35879d/test/suspicious/back_suspicious_group_1_2.png,test,suspicious,back,suspicious,group_1
back/suspicious/group_2/back_suspicious_group_2_1.png,job_20260806_160640_35879d/train/suspicious/back_suspicious_group_2_1.png,train,suspicious,back,suspicious,group_2
back/suspicious/group_2/back_suspicious_group_2_2.png,job_20260806_160640_35879d/val/suspicious/back_suspicious_group_2_2.png,val,suspicious,back,suspicious,group_2
back/suspicious/group_3/back_suspicious_group_3_1.png,job_20260806_160640_35879d/val/suspicious/back_suspicious_group_3_1.png,val,suspicious,back,suspicious,group_3
back/suspicious/group_3/back_suspicious_group_3_2.png,job_20260806_160640_35879d/test/suspicious/back_suspicious_group_3_2.png,test,suspicious,back,suspicious,group_3
back/suspicious/ungroupable/back_suspicious_ungroupable_1.png,job_20260806_160640_35879d/val/suspicious/back_suspicious_ungroupable_1.png,val,suspicious,back,suspicious,ungroupable
back/suspicious/ungroupable/back_suspicious_ungroupable_2.png,job_20260806_160640_35879d/train/suspicious/back_suspicious_ungroupable_2.png,train,suspicious,back,suspicious,ungroupable
back/suspicious/ungroupable/front_regular_group_1_1.png,job_20260806_160640_35879d/train/suspicious/front_regular_group_1_1.png,train,suspicious,back,suspicious,ungroupable
back/suspicious/ungroupable/front_regular_group_1_2.png,job_20260806_160640_35879d/train/suspicious/front_regular_group_1_2.png,train,suspicious,back,suspicious,ungroupable
back/suspicious/ungroupable/front_regular_group_2_1.png,job_20260806_160640_35879d/train/suspicious/front_regular_group_2_1.png,train,suspicious,back,suspicious,ungroupable
front/regular/group_2/front_regular_group_2_2.png,job_20260806_160640_35879d/train/regular/front_regular_group_2_2.png,train,regular,front,regular,group_2
front/regular/group_3/front_regular_group_3_1.png,job_20260806_160640_35879d/train/regular/front_regular_group_3_1.png,train,regular,front,regular,group_3
front/regular/group_3/front_regular_group_3_2.png,job_20260806_160640_35879d/val/regular/front_regular_group_3_2.png,val,regular,front,regular,group_3
front/regular/ungroupable/front_regular_ungroupable_1.png,job_20260806_160640_35879d/test/regular/front_regular_ungroupable_1.png,test,regular,front,regular,ungroupable
front/regular/ungroupable/front_regular_ungroupable_2.png,job_20260806_160640_35879d/train/regular/front_regular_ungroupable_2.png,train,regular,front,regular,ungroupable
front/suspicious/group_1/front_suspicious_group_1_1.png,job_20260806_160640_35879d/train/suspicious/front_suspicious_group_1_1.png,train,suspicious,front,suspicious,group_1
front/suspicious/group_1/front_suspicious_group_1_2.png,job_20260806_160640_35879d/train/suspicious/front_suspicious_group_1_2.png,train,suspicious,front,suspicious,group_1
front/suspicious/group_2/front_suspicious_group_2_1.png,job_20260806_160640_35879d/test/suspicious/front_suspicious_group_2_1.png,test,suspicious,front,suspicious,group_2
front/suspicious/group_2/front_suspicious_group_2_2.png,job_20260806_160640_35879d/train/suspicious/front_suspicious_group_2_2.png,train,suspicious,front,suspicious,group_2
front/suspicious/group_3/front_suspicious_group_3_1.png,job_20260806_160640_35879d/train/suspicious/front_suspicious_group_3_1.png,train,suspicious,front,suspicious,group_3
front/suspicious/group_3/front_suspicious_group_3_2.png,job_20260806_160640_35879d/train/suspicious/front_suspicious_group_3_2.png,train,suspicious,front,suspicious,group_3
front/suspicious/ungroupable/front_suspicious_ungroupable_1.png,job_20260806_160640_35879d/train/suspicious/front_suspicious_ungroupable_1.png,train,suspicious,front,suspicious,ungroupable
front/suspicious/ungroupable/front_suspicious_ungroupable_2.png,job_20260806_160640_35879d/test/suspicious/front_suspicious_ungroupable_2.png,test,suspicious,front,suspicious,ungroupable
